15,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode112,Desc_OreCopper_C,Solid,Infinite
16,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode113,Desc_Stone_C,Solid,Infinite
17,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode114,Desc_OreIron_C,Solid,Infinite
18,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode115,Desc_OreIron_C,Solid,Infinite
19,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode116,Desc_OreIron_C,Solid,Infinite
20,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode117,Desc_OreCopper_C,Solid,Infinite
21,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode118_4340,Desc_Stone_C,Solid,Infinite
22,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode119,Desc_Stone_C,Solid,Infinite
23,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode121_4877,Desc_OreGold_C,Solid,Infinite
24,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode121_UAID_40B076DF2F7938DF01_2097772508,Desc_OreGold_C,Solid,Infinite
25,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode122,Desc_Coal_C,Solid,Infinite
26,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode123_5084,Desc_OreIron_C,Solid,Infinite
27,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode124_5785,Desc_Stone_C,Solid,Infinite
28,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode125_5930,Desc_OreCopper_C,Solid,Infinite
29,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode126_6409,Desc_OreIron_C,Solid,Infinite
30,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode127,Desc_OreCopper_C,Solid,Infinite
31,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode128_5242,Desc_OreIron_C,Solid,Infinite
32,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode129,Desc_Coal_C,Solid,Infinite
33,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode12_91,Desc_OreIron_C,Solid,Infinite
34,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode13,Desc_OreIron_C,Solid,Infinite
35,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode130,Desc_Coal_C,Solid,Infinite
36,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode131,Desc_OreCopper_C,Solid,Infinite
37,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode132_5908,Desc_Stone_C,Solid,Infinite
38,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode133_6963,Desc_Stone_C,Solid,Infinite
39,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode134_8590,Desc_OreGold_C,Solid,Infinite
40,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode135,Desc_SAM_C,Solid,Infinite
41,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode136,Desc_RawQuartz_C,Solid,Infinite
42,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode136_UAID_40B076DF2F7975DF01_1587576239,Desc_RawQuartz_C,Solid,Infinite
43,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode136_UAID_40B076DF2F7975DF01_1617269241,Desc_RawQuartz_C,Solid,Infinite
44,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode136_UAID_40B076DF2F7975DF01_1622351243,Desc_RawQuartz_C,Solid,Infinite
45,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode137_2248,Desc_RawQuartz_C,Solid,Infinite
46,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode138_590,Desc_Stone_C,Solid,Infinite
47,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode139_909,Desc_Stone_C,Solid,Infinite
48,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode140,Desc_OreGold_C,Solid,Infinite
49,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode141,Desc_OreCopper_C,Solid,Infinite
50,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode142,Desc_OreGold_C,Solid,Infinite
51,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode142_UAID_40B076DF2F79E8DD01_2087440367,Desc_OreGold_C,Solid,Infinite
52,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode142_UAID_40B076DF2F79E9DD01_1434900545,Desc_OreGold_C,Solid,Infinite
53,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode142_UAID_40B076DF2F79E9DD01_1872254547,Desc_OreGold_C,Solid,Infinite
54,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode143_1543,Desc_Stone_C,Solid,Infinite
55,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode144_1644,Desc_Stone_C,Solid,Infinite
56,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode145_1749,Desc_Stone_C,Solid,Infinite
57,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode146,Desc_OreIron_C,Solid,Infinite
58,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode147,Desc_OreIron_C,Solid,Infinite
59,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode148,Desc_OreIron_C,Solid,Infinite
60,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode149,Desc_OreIron_C,Solid,Infinite
61,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode14_609,Desc_LiquidOil_C,Liquid,Infinite
62,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode15,Desc_LiquidOil_C,Liquid,Infinite
63,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode150,Desc_OreCopper_C,Solid,Infinite
64,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode151,Desc_LiquidOil_C,Liquid,Infinite
65,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode152_995,Desc_LiquidOil_C,Liquid,Infinite
66,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode153,Desc_OreIron_C,Solid,Infinite
67,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode154,Desc_LiquidOil_C,Liquid,Infinite
68,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode155,Desc_LiquidOil_C,Liquid,Infinite
69,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode156,Desc_OreCopper_C,Solid,Infinite
70,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode157,Desc_Stone_C,Solid,Infinite
71,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode158,Desc_Stone_C,Solid,Infinite
72,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode159,Desc_OreCopper_C,Solid,Infinite
73,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode16,Desc_LiquidOil_C,Liquid,Infinite
74,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode160,Desc_OreIron_C,Solid,Infinite
75,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode161,Desc_OreIron_C,Solid,Infinite
76,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode162_5199,Desc_OreCopper_C,Solid,Infinite
77,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode163,Desc_Stone_C,Solid,Infinite
78,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode164,Desc_Stone_C,Solid,Infinite
79,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode165,Desc_Stone_C,Solid,Infinite
80,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode166,Desc_Stone_C,Solid,Infinite
81,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode167,Desc_OreIron_C,Solid,Infinite
82,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode168,Desc_OreIron_C,Solid,Infinite
83,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode169_UAID_40B076DF2F7939DE01_2083925623,Desc_OreGold_C,Solid,Infinite
84,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode170_363,Desc_Sulfur_C,Solid,Infinite
85,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode172,Desc_SAM_C,Solid,Infinite
86,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode172_UAID_40B076DF2F79DFD901_1471130569,Desc_SAM_C,Solid,Infinite
87,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode173,Desc_OreIron_C,Solid,Infinite
88,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode174,Desc_OreIron_C,Solid,Infinite
89,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode175,Desc_OreIron_C,Solid,Infinite
90,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode176_UAID_40B076DF2F793BDF01_1694110039,Desc_OreGold_C,Solid,Infinite
91,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode177,Desc_Sulfur_C,Solid,Infinite
92,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode178,Desc_Stone_C,Solid,Infinite
93,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode179,Desc_OreCopper_C,Solid,Infinite
94,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode180,Desc_OreIron_C,Solid,Infinite
95,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode181,Desc_Stone_C,Solid,Infinite
96,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode182,Desc_Stone_C,Solid,Infinite
97,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode184,Desc_OreIron_C,Solid,Infinite
98,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode185,Desc_OreCopper_C,Solid,Infinite
99,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode186,Desc_Stone_C,Solid,Infinite
100,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode187_0,Desc_Stone_C,Solid,Infinite
101,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode188,Desc_OreCopper_C,Solid,Infinite
102,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode189,Desc_Stone_C,Solid,Infinite
103,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode190,Desc_Stone_C,Solid,Infinite
104,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode191,Desc_Stone_C,Solid,Infinite
105,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode192_0,Desc_OreCopper_C,Solid,Infinite
106,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode193,Desc_Stone_C,Solid,Infinite
107,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode194,Desc_OreCopper_C,Solid,Infinite
108,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode195,Desc_OreCopper_C,Solid,Infinite
109,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode196,Desc_OreIron_C,Solid,Infinite
110,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode197,Desc_OreCopper_C,Solid,Infinite
111,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode198,Desc_OreIron_C,Solid,Infinite
112,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode199,Desc_OreIron_C,Solid,Infinite
113,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode200,Desc_OreIron_C,Solid,Infinite
114,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode201,Desc_OreIron_C,Solid,Infinite
115,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode202,Desc_OreCopper_C,Solid,Infinite
116,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode203,Desc_OreIron_C,Solid,Infinite
117,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode204_0,Desc_OreIron_C,Solid,Infinite
118,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode205,Desc_OreIron_C,Solid,Infinite
119,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode206,Desc_OreIron_C,Solid,Infinite
120,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode207,Desc_OreIron_C,Solid,Infinite
121,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode208,Desc_OreIron_C,Solid,Infinite
122,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode209,Desc_OreIron_C,Solid,Infinite
123,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode20_3137,Desc_Stone_C,Solid,Infinite
124,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode210,Desc_OreIron_C,Solid,Infinite
125,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode211,Desc_OreCopper_C,Solid,Infinite
126,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode212,Desc_OreCopper_C,Solid,Infinite
127,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode213,Desc_OreCopper_C,Solid,Infinite
128,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode214,Desc_OreCopper_C,Solid,Infinite
129,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode215,Desc_OreCopper_C,Solid,Infinite
130,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode216,Desc_OreCopper_C,Solid,Infinite
131,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode217,Desc_OreIron_C,Solid,Infinite
132,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode218,Desc_OreIron_C,Solid,Infinite
133,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode219,Desc_OreIron_C,Solid,Infinite
134,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode220,Desc_OreIron_C,Solid,Infinite
135,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode221,Desc_OreIron_C,Solid,Infinite
136,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode222,Desc_OreIron_C,Solid,Infinite
137,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode223,Desc_OreIron_C,Solid,Infinite
138,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode224,Desc_Stone_C,Solid,Infinite
139,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode225,Desc_Stone_C,Solid,Infinite
140,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode226,Desc_Stone_C,Solid,Infinite
141,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode227,Desc_Stone_C,Solid,Infinite
142,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode228,Desc_Stone_C,Solid,Infinite
143,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode229,Desc_Stone_C,Solid,Infinite
144,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode230,Desc_OreIron_C,Solid,Infinite
145,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode231,Desc_RawQuartz_C,Solid,Infinite
146,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode232,Desc_RawQuartz_C,Solid,Infinite
147,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode233,Desc_OreIron_C,Solid,Infinite
148,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode234,Desc_Stone_C,Solid,Infinite
149,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode235,Desc_OreCopper_C,Solid,Infinite
150,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode236,Desc_OreIron_C,Solid,Infinite
151,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode237,Desc_OreCopper_C,Solid,Infinite
152,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode238,Desc_OreIron_C,Solid,Infinite
153,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode239,Desc_OreIron_C,Solid,Infinite
154,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode23_96,Desc_LiquidOil_C,Liquid,Infinite
155,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode240,Desc_OreGold_C,Solid,Infinite
156,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode241,Desc_SAM_C,Solid,Infinite
157,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode241_UAID_40B076DF2F7947D301_1723440520,Desc_SAM_C,Solid,Infinite
158,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode24_97,Desc_LiquidOil_C,Liquid,Infinite
159,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode25_98,Desc_LiquidOil_C,Liquid,Infinite
160,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode26_99,Desc_LiquidOil_C,Liquid,Infinite
161,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode27_100,Desc_LiquidOil_C,Liquid,Infinite
162,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode28_101,Desc_LiquidOil_C,Liquid,Infinite
163,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode29_102,Desc_LiquidOil_C,Liquid,Infinite
164,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode30_103,Desc_LiquidOil_C,Liquid,Infinite
165,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode31_104,Desc_LiquidOil_C,Liquid,Infinite
166,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode32_105,Desc_LiquidOil_C,Liquid,Infinite
167,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode35,Desc_OreIron_C,Solid,Infinite
168,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode36,Desc_OreIron_C,Solid,Infinite
169,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode37_178,Desc_Stone_C,Solid,Infinite
170,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode38_902,Desc_OreCopper_C,Solid,Infinite
171,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode39,Desc_OreIron_C,Solid,Infinite
172,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode40,Desc_OreIron_C,Solid,Infinite
173,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode41_1099,Desc_Stone_C,Solid,Infinite
174,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode426,Desc_OreIron_C,Solid,Infinite
175,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode427,Desc_OreIron_C,Solid,Infinite
176,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode42_1294,Desc_Stone_C,Solid,Infinite
177,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode43,Desc_SAM_C,Solid,Infinite
178,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode430,Desc_OreIron_C,Solid,Infinite
179,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode431,Desc_OreIron_C,Solid,Infinite
180,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode435_26,Desc_OreIron_C,Solid,Infinite
181,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode437_30,Desc_OreIron_C,Solid,Infinite
182,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode439_1,Desc_Stone_C,Solid,Infinite
183,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode43_UAID_40B076DF2F7932D901_1711042113,Desc_SAM_C,Solid,Infinite
184,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode43_UAID_40B076DF2F7936D401_1733397541,Desc_SAM_C,Solid,Infinite
185,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode43_UAID_40B076DF2F793ED901_1532454233,Desc_SAM_C,Solid,Infinite
186,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode43_UAID_40B076DF2F7941D901_1404601764,Desc_SAM_C,Solid,Infinite
187,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode440,Desc_Stone_C,Solid,Infinite
188,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode441,Desc_Stone_C,Solid,Infinite
189,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode442,Desc_Stone_C,Solid,Infinite
190,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode443,Desc_Stone_C,Solid,Infinite
191,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode444_0,Desc_LiquidOil_C,Liquid,Infinite
192,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode445,Desc_OreCopper_C,Solid,Infinite
193,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode446_1,Desc_LiquidOil_C,Liquid,Infinite
194,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode447,Desc_LiquidOil_C,Liquid,Infinite
195,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode448,Desc_LiquidOil_C,Liquid,Infinite
196,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode449,Desc_Coal_C,Solid,Infinite
197,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode451,Desc_Coal_C,Solid,Infinite
198,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode452,Desc_Coal_C,Solid,Infinite
199,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode453,Desc_OreIron_C,Solid,Infinite
200,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode454,Desc_OreIron_C,Solid,Infinite
201,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode457,Desc_OreIron_C,Solid,Infinite
202,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode458,Desc_LiquidOil_C,Liquid,Infinite
203,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode459,Desc_LiquidOil_C,Liquid,Infinite
204,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode460,Desc_LiquidOil_C,Liquid,Infinite
205,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode461,Desc_Sulfur_C,Solid,Infinite
206,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode462,Desc_OreIron_C,Solid,Infinite
207,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode462_UAID_40B076DF2F7902E201_1630060169,Desc_OreIron_C,Solid,Infinite
208,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode462_UAID_40B076DF2F7907E201_1624182051,Desc_OreIron_C,Solid,Infinite
